VM,IPv4,Folder,OS
dgac-annuaire,192.168.127.163,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
DGAC-DEMO-RCT,192.168.127.128,/KleeGroup-Hosting/DC4/Rct01,SUSE Linux Enterprise 12 (64-bit)
dgac-dsac,192.168.127.6,/KleeGroup-Hosting/DC4/Rct01,SUSE Linux Enterprise 12 (64-bit)
dgac-mdap,192.168.127.105,/KleeGroup-Hosting/DC4/Rct01,SUSE Linux Enterprise 12 (64-bit)
dgac-qualite,,/KleeGroup-Hosting/DC4/Rct01,SUSE Linux Enterprise 12 (64-bit)
dgac-qualite02,192.168.127.17,/KleeGroup-Hosting/DC4/Rct01,Ubuntu Linux (64-bit)
dgac-taxes,192.168.127.152,/KleeGroup-Hosting/DC4/Rct01,SUSE Linux Enterprise 12 (64-bit)
dgpr-gun-apache,192.168.127.174,/KleeGroup-Hosting/DC4/Rct01/GUN,Debian GNU/Linux 9 (64-bit)
dgpr-gun-appli-ext-env-a,192.168.127.172,/KleeGroup-Hosting/DC4/Rct01/GUN,Other (32-bit)
dgpr-gun-appli-ext-env-b,192.168.127.188,/KleeGroup-Hosting/DC4/Rct01/GUN,Debian GNU/Linux 10 (64-bit)
dgpr-gun-appli-ext-env-c,192.168.127.89,/KleeGroup-Hosting/DC4/Rct01/GUN,Debian GNU/Linux 9 (64-bit)
dgpr-gun-appli-ext-env-d,192.168.127.123,/KleeGroup-Hosting/DC4/Rct01/GUN,Other (32-bit)
dgpr-gun-appli-ext-env-f,192.168.127.86,/KleeGroup-Hosting/DC4/Rct01/GUN,Debian GNU/Linux 9 (64-bit)
dgpr-gun-bdd-ext-env-a,192.168.127.173,/KleeGroup-Hosting/DC4/Rct01/GUN,Debian GNU/Linux 9 (64-bit)
dgpr-gun-bdd-ext-env-b,192.168.127.101,/KleeGroup-Hosting/DC4/Rct01/GUN,Other (32-bit)
dgpr-gun-bdd-ext-env-c,192.168.127.133,/KleeGroup-Hosting/DC4/Rct01/GUN,Other (32-bit)
dgpr-gun-bdd-ext-env-d,192.168.127.134,/KleeGroup-Hosting/DC4/Rct01/GUN,Other (32-bit)
dgpr-gun-bdd-ext-env-f,192.168.127.87,/KleeGroup-Hosting/DC4/Rct01/GUN,Debian GNU/Linux 11 (64-bit)
dgpr-gun-elastic-ext-env-d,192.168.127.92,/KleeGroup-Hosting/DC4/Rct01/GUN,Debian GNU/Linux 11 (64-bit)
dgpr-gun-form-maenv,192.168.127.195,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
